goal,steps,ordered?
How to Get Married in Oregon - Planning a Wedding Ceremony,Decide on the type of ceremony. Choose a season. Hire wedding vendors. Confirm the date with vendors and officiants. Make final payments.,1
How to Select a Dog Bed - Understanding Different Types of Beds,Buy a mat for the easiest solution. Pick a pillow bed for a large dog. Select a donut bed if your dog likes to feel secure. Purchase a nest bed for cuddling comfort. Buy a bolster-type bed if your dog is a leaner. Look for a cave-style bed if your dog likes to burrow. Consider a hammock bed for ease of cleaning.,0
How to Live with Atrial Fibrillation - Using Lifestyle Changes,Make things easier. Steer clear of harmful substances. Manage your stress levels. Eat a heart-healthy diet. Quit smoking. Exercise regularly. Take medications.,0
How to Get to Sleep and Feel Refreshed in the Morning - Getting to Sleep,Get comfortable. Cut out stimulants. Turn off the electronics. Stop your racing mind. Keep snacks light before bed. Stay on schedule. Try melatonin. Try a sleep aid. Understand when to see a doctor.,0
How to Train Puggles - House-Training Your Puggle,Begin training your puggle right away. Put your puggle on a training schedule. Clean up any accidents right away. Prepare a crate for your puggle. Teach your dog to use the crate.,1
How to Start a Yeast Free Diet - Trying a Four to Six Week Diet,Familiarize yourself with the foods that are off-limits. Familiarize yourself with the foods that you can eat. Familiarize yourself with treats. Continue this diet for four to six weeks. Slowly add foods back into your diet over a period of a few weeks.,1
How to Have Assault Charges Dropped - Taking Preliminary Steps,Decide why you want to drop the charges. Think over your decision. Seek legal advice. Encourage an abusive partner to get a lawyer.,1
How to Calculate the Volume of a Cube - Finding Volume from Surface Area,Find your cube's surface area. Divide the cube's surface area by 6. Take the square root of this value. Cube this value to find the cube's volume.,1
How to Get Your Crush to Like You in Fifth Grade (Girls),"Say the casual ""Hey"" to get their attention. Play the games outside that they play. Enjoy getting their attention. Work closely with them on school projects. See if you like the things they do. Laugh! Look your best around them. Try to exchange phone numbers, but be casual. Become real friends with the person. Ask them out, if they haven't asked you already!",0
How to Support the ACLU - Taking Action Online,"Go to the ACLU website. Click on the ""Take Action"" tab. Sign a petition. Send a letter to members of Congress. Send a message to private businesses.",1
How to Naturally Treat ADHD - Improving Focus with Organization,Use a daily planner to keep track of your activities and deadlines. Break up large projects into smaller ones. Get rid of clutter because it’s a distraction. Have designated places for important items.,0
How to Be an English Gentleman - Being Chivalrous,"Show politeness to show your refinement. Give up your seat if someone is standing. Hold doors open for people. Take care of people. Mean what you say, and say what you mean.",0
How to Get a Dog to Stop Drinking from the Toilet - Training Your Dog,Catch your dog in the act. Call it from the area. Close the toilet lid. Give your dog a fresh bowl of water.,1
How to Cope With a Bad Dog - Retraining Your Dog,"Avoid rewarding bad behavior. Use clear, simple words like “no,” “bad dog,” and “good dog.” You need to communicate to your dog that it’s engaged in bad behavior and then redirect it to a good behavior and reward it for that behavior. Desensitize your dog to stressful stimuli. Stick to a regular training schedule.",0
How to Teach Mathematics - Working with Students as Individuals,Find ways to challenge upper level students. Provide extra support for slower students. Take a personal interest in all students. Contact parents regularly.,0
How to Identify Songs Using Melody - Using Technology,Find the right app or program for you. Use a music-recognition app. Record yourself humming the melody. Include any additional details you can think of. Post up your query. Wait for an answer.,1
"How to Care for a Fiddle Leaf Fig - Watering, Fertilizing, and Pruning",Water your fiddle leaf fig generously 1-2 times per week. Mist the leaves daily unless the weather is humid. Cut off any leaves that look brown or discolored. Dust the leaves with a damp cloth once every 2 weeks. Check the leaves and stems for pests once per week. Fertilize the plant once in the spring and once per month in the summer.,0
How to Lose Body Fat - Jump-Starting Fat Loss with a New Diet,Consume a well-rounded balance of protein and fat. Drink a lot of water. Eat breakfast every day. Fill your day with fiber. Don't eat foods with empty calories.,0
How to Deal with Misophonia - Finding Your Triggers,Know common misophonia triggers. Notice what sounds cause you to experience stress. Write down what’s happening when you start to feel anxious or upset.,1
How to Buy and Sell Gold Coins for Profit - Selling Gold Coins,Keep track of gold value. Keep track of the value of your country's currency. Aim to sell your coins at the peak of demand. Take your gold coin to a jeweler or pawn shop. Do not sell to “rogue” buyers.,0
How to Choose a Smartphone - Choosing a Smartphone Model,Pick a carrier. Pick a phone service and data plan that works for you. Pick a screen size. Decide how new you want your phone model to be. Check the storage space. Consider camera quality. Consider phone battery life.,0
How to Distress Cabinets - Weathering and Staining Cabinets,"Protect your  work area. Remove knobs, handles, and any other hardware. Sand down the entire surface of the cabinet using a 60 to 80 grit sandpaper. Vacuum your work area and wash the cabinets down to get rid of any dust. Mask off the areas you do not want to be painted with painter's tape. Rub a stain or glaze into the surface of the wood using a piece of cloth. Apply wax or petroleum jelly to the areas you want to distress. Apply a few coats of acrylic or latex furniture-grade paint, letting each layer to dry in between. Lightly sand the cabinet again once the paint is fully dry, and be sure to remove all the dust. Consider applying some antiquing glaze for an aged look. Remove excess glaze, if necessary. Apply three coats of a clear sealer, allowing each coat dry before applying the next one. Make sure that the sealer has fully cured before you replace the hardware on the cabinets.",1
How to Have Good Manners (Girls),Don`t always think about yourself. Manners help people get along together. Good impressions always lead up to good judgments by people. Choose your words carefully. Eat appropriately.,0
How to Stay Friends With a Guy Friend That Asked You Out - Setting Boundaries If He Won't Take No For an Answer,Keep texting to a minimum. Avoid being alone with him. Avoid being physically affectionate. Avoid intimate conversations. Talk on the phone as little as possible. Go to girlfriends to vent or cry.,0
How to Buy Healthy Food on a Budget - Familiarize Yourself with Various Markets,Shop in bulk for items that you know will be used before the expiration date. Discover ethnic markets. Venture over to some discount food stores to see if there are any possible sale items that might be worth a try. Shop at local farmers markets to find healthier options and more savings.,0
How to Use a GoPhone Plan With an iPhone - iPhone through iPhone 3GS,Get an old AT&T iPhone. Get a prepaid AT&T GoPhone. Power down your iPhone. Remove the iPhone SIM card. Remove the GoPhone SIM card. Replace the iPhone SIM card. Make a call. Enable wireless data.,1
How to Bake Eggs - Making Shirred Eggs,"Preheat your oven to 425 °F (218 °C). Grease a muffin tin with a light coat of cooking spray. Crack 1 egg into each muffin tin or ramekin. Pour 1 to 2 teaspoons of heavy cream over each egg. Season the eggs with salt, pepper, and grated cheese, if desired. Bake the eggs for 7 to 12 minutes. Serve the eggs as soon as you take them out of the oven.",1
How to Install Internet Explorer - Using Windows 10,Check to see if you already have Internet Explorer. Go to Microsoft's Internet Explorer page. Scroll down and click Download Internet Explorer 11 (32/64-bit). Press Ctrl+J in your web browser. Click the file that begins with EIE11_EN. Click Yes to confirm. Click Install. Click Restart now.,1
How to Update Your Browser - Updating Apple Safari on Mac OS X,"Click on the Apple menu and select “System Preferences.” Click on “App Store"" and then ""Show Updates.” The Updates window will display on-screen. Browse the list of updates to locate updates for your Safari browser. Click on the “Update” button next to the Safari update. Type in the administrator password for your Mac computer at the prompt.",1
How to Write a Hypothesis for an Essay - Composing the Hypothesis,"Begin by organizing your research. Look at previous studies that focus on what you want to do. Determine what part of the experiment you will manipulate. Based on your research, predict how the experiment will turn out. Write a formal hypothesis. Be as specific as possible. Have someone read over your hypothesis.",1
How to Cook Freekeh - Freekeh Pilaf,"Sauté the onions. Soak the freekeh in cold water. Drain the freekeh. Add the freekeh and spices to the onion. Add the stock, salt, and pepper. Simmer for 15 minutes. Let stand. Mix the yogurt, lemon juice, and garlic. Stir the herbs into the pilaf. Serve with yogurt and pine nuts.",1
How to Become a Singer or Actress As a Teenager - Practicing Your Craft,Invest in training. Train yourself if you can't afford professional training. Audition as much as possible. Use knowledge from auditions to become better. Try out for talent shows. Cultivate yourself as a triple threat. Be wary of schemes.,0
How to Communicate Emotion Through Touch - Expressing Other Emotions with Touch,Gain a person’s attention. Let a person know you’re in charge. Reveal surprise. Disclose fear. Indicate anger.,0
How to Boil Cabbage - Boiling the Cabbage,Bring water to a gentle boil over medium-high heat. Add the cabbage to the boiling water. Cook uncovered at a simmer or gentle boil. Remove the cabbage from the pot. Season the cabbage.,1
How to Answer What Interests You About This Job - Showing Why You Like the Company,Do your research. Pay attention to the culture. Make notes. Incorporate what you know into your answer.,1
How to Teach a Child to Use the Telephone,"Let your child hold the phone without pushing any buttons, while you point to the buttons and explain which button does what, and tell him/her which buttons s/he should NEVER touch. Let your child answer the phone, with a 'script' that you write out for him/her. When your child is comfortable with this, and has whatever you want him/her to say memorized, let your child begin to answer the phone by him/herself. Let your child begin to call his/her friends/relatives. After your child is comfortable with this, and you are comfortable with letting him/her do this, you may let him/her answer/make calls whenever!",1
How to Help when Someone Dies - Performing Practical Tasks,Sit down with the bereaved person and make a to-do list. Co-organize the funeral services. Act as an intermediary with officials. Make meals. Clean and organize the house. Provide childcare. Launch a fundraising drive.,0
How to Find Fulfilling Work - Finding a Possible Career Path,Ask yourself about the legacy you want to leave. Make a list of options. Narrow down the list. Identify barriers preventing you from being who you want to be. Accept the confusion.,1
How to Talk to Someone with Disordered Eating During the Holidays - Avoiding Stereotypes,Stop making assumptions about what disordered eating looks like. Offer support without commenting on their appearance. Show gratitude for their presence around the holidays.,0
How to Connect Jambox to Mac - Turning On Bluetooth on your Mac,"Click the ""Apple"" menu. Click System Preferences. Click the ""Bluetooth"" icon. Click Turn Bluetooth On.",1
How to Study Using Index Cards - Using Notecards with Different Systems of Studying,Decide on an index card format. Take notes over a specific topic. Outline your essay on cards. Take notes over specific sources. Create practice tests. Treat studying as a game.,0
How to Issue a Refund - Using Google Payments Merchant Center,"Sign in to your Google Payments Merchant Center account. Click on the order for which you want to issue a refund. Click on “Refund order” in the right sidebar. Select the reason for the refund from the dropdown menu, then click “Refund order.” Google will immediately process the refund.",1
How to Help Stop Sex Trafficking - Taking Individual Action,Write a letter to your representatives. Volunteer at a local organization dedicated to helping victims. Write a letter to the editor of a local newspaper or magazine. Talk to your friends and family members about it. Offer survivors legal services if you are an attorney. Provide low-cost medical services if you are a healthcare provider. Report stories about sex trafficking if you are a journalist.,0
How to Winterize Your Car - Checking the Mechanics,Change your engine oil. Check your belts and hoses. Replace old coolant with antifreeze. Make sure your 4-wheel drive is working. Check your battery. Check your defrosting and heating units.,0
How to Sleep with a Cough - Hydrating Your Breathing Passages,Drink water during the day to stay hydrated at night. Take a steamy shower or bath to wind down at the end of the day. Enjoy hot tea with honey before bedtime. Turn on a humidifier in your bedroom.,0
How to Tell if You Genuinely Like Someone - Recognizing Signs of a Crush,Determine if you leave a date with them feeling happy. Figure out if you feel excited when they call or text you. Recognize when you see things that remind you of them. Spend time with other people to see if you miss them. Notice if you contact them first when you get good or bad news.,0
How to Make a Guy Want You - Drawing Him In Further,Let him know your feelings. Touch him or graze past him. Meet his friends and get them to like you. Follow up on important events and dates. Spend more time together.,0
How to Help Someone Who is Moving - Helping During the Move,Show up early if you have agreed to help load and physically move the items. Bring coffee and donuts. Help get the moving truck. Assist in organizing the movers. Be ready to fetch whatever your friend or the movers need. Use your strength if you have it.,0
